cod_gl_res144_indec,provincia,departamento,nombre_del_gobierno_local,categoria_de_gobierno,gobierno_local_con_paso_o_centro_fronterizo,gobierno_local_que_pertenece_a_un_aglomerado_urbano,poblacion_censo_2010,localidades_administradas_por_el_gobierno_local,distancia_a_la_capital_provincial,distancia_a_la_capital_alterna,perfil_economico_de_la_region,cantidad_de_parques_industriales_renpi,incendios_reportados_en_el_periodo_1999-2022,inundaciones_reportadas_en_el_periodo_1999-2022,fiestas_locales,sitio_web,direccion_postal_de_la_sede_de_gobierno,telefonos_sede_de_gobierno,apellido_y_nombre_de_la_maxima_autoridad.,latitud,longitud
740091,San Luis,Gobernador Dupuy,Unión,Municipio,No,No,  2.462 ,Unión             ,209 KM,209 KM,Primario,0,0,0,-,https://www.municipalidaddeunion.gob.ar/,Máximo Barthel y Av. Antonio Dassa (5770),02658 495027,"Espósito, Marcos Gabriel",-65.9461516826,-35.1537830816
740095,San Luis,Junín,Carpintería,Municipio,No,No,  1.788 ,Carpintería             ,"158,9 KM","158,9 KM",Primario - Industrial,0,0,0,Fiesta Nacional de la Carreta y los 101 Chivos (Octubre) -,http://carpinteria.gob.ar,San Martín y Pringles (5883),"02656 479006 Int.8701,0266 4452000 Int. 8701,0266 4452010 Int. 8701","Herrera, Gastón",-65.0099194084,-32.4101026888
740098,San Luis,Junín,Santa Rosa del Conlara,Municipio,No,No,  5.511 ,Santa Rosa del Conlara             ,"150,1 KM","150,1 KM",Primario - Industrial,0,0,0,Festival del Río Conlara (Enero) - Fiesta Patronal Santa Rosa de Lima (Agosto) -,https://municipalidadsantarosadelconlara.gob.ar/,9 de Julio 687 (5777),"02656 492789,0266 4452000 Int. 8705","Ponce de Postiguillo, Marta Beatriz",-65.2089058972,-32.3428333476
740105,San Luis,Junín,Villa de Merlo ,Municipio,No,No,  17.084 ,Barrio 270 Viviendas -  Villa de Merlo      ,"163,5 KM","163,5 KM",Primario - Industrial,0,0,0,Fiesta Nacional de la Dulzura (Agosto) - Fiesta Nacional del Valle del Sol (Febrero) - Fiesta del Cabrito (Junio) - Semana de la Fé - Semana Santa (Abril) - Navidad Merlina - Encuentro de Villancico (Diciembre) - Semana de la Gatronomía Regional (Junio) - Pericón Nacional de San Luis al País (Noviembre) - Fiesta de la Rosa (Septiembre) -,https://villademerlo.gob.ar,Av. Coronel Mercau 605 (5781),"02656 475089,0266 4452000 Int. 8704,02656-475210 ","Álvarez Pinto, Juan José",-65.0137325338,-32.3426351397
740108,San Luis,Juan Martín de Pueyrredón,Desaguadero,Comisión Municipal,No,No,  96 ,Desaguadero             ,"76,5 KM","76,5 KM",Industrial - Primario,0,0,0,-,S/D,Autopista Serranías Puntanas (Isla de Servicios) K,"0266 4452000 Int. 4174,0266 4452010 Int. 4174","LEHNE, Natalia Karina E",-67.1493994387,-33.4060088712
740112,San Luis,Juan Martín de Pueyrredón,El Volcán,Municipio,No,No,  1.775 ,El Volcán -  Los Puquios      ,16 KM,16 KM,Industrial - Primario,0,0,0,Fiesta Patronal Nuestra Señora de la Guardia (Agosto) - Festival Folclórico (Enero) -,https://www.facebook.com/Municipalidad-de-El-Volc%C3%A1n-Info-519622921528909/,San Miguel de Arcángel 1163 (5701),"02664 494000 Int. 8004,0266 4452000  Int. 8404,0266 4452010 Int. 8404","Callegaro, Ricardo Lorenzo",-66.175161305,-33.2531001466
740119,San Luis,Juan Martín de Pueyrredón,Juana Koslay,Municipio,No,Si,  12.467 ,Daniel Donovan -  Los Puquios -  Juana Koslay            ,"6,7 KM","6,7 KM",Industrial - Primario,0,0,0,Fiesta Patronal Nuestra Señora de Fátima (Mayo) - Fiesta Patronal Nuestra Señora de Fátima (Octubre) - Fiesta Patronal Nuestra Señora de Shoenstatt (Octubre) -,http://www.juanakoslay.gob.ar/,Av. Del Portezuelo y Ruta 18 (5701),"0266 4490251 Int. 8902,-","Videla, Jorge Donato",-66.2666359764,-33.2888993306
740126,San Luis,Juan Martín de Pueyrredón,La Punta,Municipio,No,Si,  13.182 ,Aguadita del Portezuelo -  La Punta      ,"13,4 KM","13,4 KM",Industrial - Primario,0,0,0,Carnaval Puntano (Febrero) -,https://www.municipiolapunta.gob.ar/,alle 9 (norte) entre Mod. 10 y 11 (5710),"0266 4452000 Int. 8008,0266 4452000 Int. 8072,0266 4452000 Int. 8073","Olivero, Martín",-66.3124809492,-33.1836751358
740130,San Luis,Juan Martín de Pueyrredón,Potrero de los Funes,Municipio,No,No,  1.698 ,Potrero de los Funes             ,"13,6 KM","13,6 KM",Industrial - Primario,0,0,0,Festival del Lago (Diciembre) -,https://www.potrerodelosfunes.gob.ar/,Av. Los Paraisos 832 (5701),"02664 495311,0266 4452000  Int. 8006,0266 4452010 Int. 4275,0266 4452010 Int. 4276","Goméz, Jonathan Damián",-66.2312695847,-33.2173981927
740133,San Luis,Juan Martín de Pueyrredón,San Luis,Municipio,No,Si,  169.947 ,San Luis             ,0 KM,0 KM,Industrial - Primario,1,0,0,Fiesta Patronal San Luis de Francia (Agosto) - Encuentro Nacional y Provincial Amigos con el Folckore (Enero) - Fiesta Nacional Encuentro de los Cuyanos (Enero) - Cunas de Compadres (Febrero) - Semana de la Tradición - Raices Puntanas (Noviembre) -,https://www.ciudaddesanluis.gov.ar/,San Martín 590 (5700),"02664 422290,0266 154778538","Tamayo, Sergio Daniel ",-66.3368545732,-33.3020864828
